,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cambuí,-22.6122,-46.0575,59.5,67,56,3.87,BR,1627941561
1,Longyearbyen,78.2186,15.6401,42.24,91,100,9.91,SJ,1627941561
2,Bambous Virieux,-20.3428,57.7575,59.25,88,20,8.05,MU,1627941562
3,Talnakh,69.4865,88.3972,66.29,53,100,4.59,RU,1627941562
4,Pevek,69.7008,170.3133,35.04,81,100,19.08,RU,1627941563
5,Olafsvik,64.8945,-23.7142,53.11,81,100,4.56,IS,1627941563
6,Eirunepé,-6.6603,-69.8736,84.65,41,12,2.68,BR,1627941563
7,Carnarvon,-24.8667,113.6333,46.47,47,0,11.5,AU,1627941564
8,Bluff,-46.6,168.3333,45.81,68,93,9.13,NZ,1627941564
9,Cologne,50.9333,6.95,58.96,87,0,1.14,DE,1627941565
10,Kapaa,22.0752,-159.319,85.98,84,23,5.01,US,1627941480
11,Hobart,-42.8794,147.3294,44.28,89,75,3.0,AU,1627941565
12,Nikolskoye,59.7035,30.7861,63.39,99,100,8.88,RU,1627941566
13,Wattegama,6.7989,81.4808,77.92,68,100,4.83,LK,1627941566
14,Arraial do Cabo,-22.9661,-42.0278,73.36,77,0,10.36,BR,1627941566
15,Pangnirtung,66.1451,-65.7125,48.2,93,75,14.97,CA,1627941567
16,Rikitea,-23.1203,-134.9692,69.06,57,83,21.63,PF,1627941567
17,Veinte de Noviembre,14.9833,-92.25,84.24,82,83,4.63,MX,1627941567
18,Maryville,35.7565,-83.9705,85.06,50,99,3.0,US,1627941568
19,Narasannapeta,18.4167,84.05,81.75,71,98,5.46,IN,1627941568
20,Roanoke Rapids,36.4615,-77.6542,83.44,69,1,4.61,US,1627941569
21,Thompson,55.7435,-97.8558,77.16,47,20,5.75,CA,1627941569
22,Vaini,-21.2,-175.2,73.56,73,40,12.66,TO,1627941569
23,Payo,-3.7508,103.6372,71.49,95,81,2.46,ID,1627941570
24,Kiryat Gat,31.61,34.7642,84.4,47,0,4.32,IL,1627941543
25,Lavrentiya,65.5833,-171.0,44.69,99,100,8.39,RU,1627941571
26,Tuktoyaktuk,69.4541,-133.0374,50.0,87,90,9.22,CA,1627941571
27,Hithadhoo,-0.6,73.0833,81.68,69,100,5.19,MV,1627941572
28,Busselton,-33.65,115.3333,54.19,76,100,7.23,AU,1627941572
29,Mumford,5.2618,-0.759,76.26,90,100,6.53,GH,1627941573
30,New Norfolk,-42.7826,147.0587,43.92,80,100,2.66,AU,1627941573
31,Hermanus,-34.4187,19.2345,57.79,89,3,9.75,ZA,1627941573
32,Dingle,10.9995,122.6711,79.0,86,100,9.98,PH,1627941574
33,Ambon City,-3.6954,128.1814,75.34,94,40,5.75,ID,1627941574
34,Vavuniya,8.7514,80.4971,77.74,79,92,9.46,LK,1627941575
35,Sarāhan,31.5167,77.8,64.06,82,53,2.51,IN,1627941575
36,La Palma,33.8464,-118.0467,110.66,45,0,5.01,US,1627941575
37,Fortuna,40.5982,-124.1573,68.94,71,1,1.01,US,1627941576
38,Złotoryja,51.1264,15.9198,59.67,81,14,6.91,PL,1627941576
39,Punta Arenas,-53.15,-70.9167,41.02,81,40,29.93,CL,1627941576
40,Esperance,-33.8667,121.9,46.24,80,100,12.03,AU,1627941577
41,Hūn,29.1268,15.9477,87.24,20,0,11.79,LY,1627941577
42,Lüderitz,-26.6481,15.1594,66.81,37,0,1.83,NA,1627941578
