,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Constitución,-35.3333,-72.4167,57.04,73,97,7.29,CL,1628187639
1,Tiksi,71.6872,128.8694,40.89,88,70,7.83,RU,1628187640
2,Asău,46.4333,26.4,77.92,49,16,4.65,RO,1628187640
3,Rikitea,-23.1203,-134.9692,73.9,74,18,18.23,PF,1628187640
4,Goderich,43.7501,-81.7165,83.03,50,0,10.36,CA,1628187641
5,Kanganpur,30.7663,74.1231,89.56,57,2,6.08,PK,1628187641
6,Albany,42.6001,-73.9662,82.02,60,34,1.99,US,1628187642
7,Udachny,66.4167,112.4,58.64,49,1,11.12,RU,1628187642
8,Upernavik,72.7868,-56.1549,45.32,67,15,2.3,GL,1628187643
9,Câmara de Lobos,32.6333,-16.9667,79.43,91,40,1.99,PT,1628187643
10,Aklavik,68.2191,-135.0107,66.2,52,20,4.61,CA,1628187644
11,Cuicatlan,17.8,-96.9667,86.14,54,99,3.76,MX,1628187644
12,Ushuaia,-54.8,-68.3,53.26,43,75,20.71,AR,1628187428
13,Nizhniy Odes,63.6445,54.856,57.56,59,36,11.32,RU,1628187645
14,Sola,-13.8833,167.55,74.07,94,75,0.0,VU,1628187645
15,Dunedin,-45.8742,170.5036,47.8,89,79,1.01,NZ,1628187646
16,Port Alfred,-33.5906,26.891,63.36,92,76,4.23,ZA,1628187646
17,Hobart,-42.8794,147.3294,54.01,61,40,5.01,AU,1628187647
18,Kruisfontein,-34.0033,24.7314,57.88,96,99,5.84,ZA,1628187648
19,Ponta do Sol,32.6667,-17.1,79.43,84,11,0.94,PT,1628187648
20,Provideniya,64.3833,-173.3,49.5,81,98,8.59,RU,1628187648
21,Chui,-33.6971,-53.4616,62.01,81,81,9.15,UY,1628187649
22,Pachelma,53.2443,43.3521,68.77,52,78,7.02,RU,1628187649
23,Fare,-16.7,-151.0167,78.57,73,25,9.82,PF,1628187650
24,Busselton,-33.65,115.3333,40.08,85,0,6.2,AU,1628187650
25,New Norfolk,-42.7826,147.0587,53.65,63,100,8.99,AU,1628187650
26,Mataura,-46.1927,168.8643,35.47,98,47,1.86,NZ,1628187651
27,Menongue,-14.6585,17.691,63.66,22,0,5.23,AO,1628187651
28,Bluff,-46.6,168.3333,35.8,86,44,6.26,NZ,1628187652
29,Markova,48.6758,24.4138,62.19,87,95,4.12,UA,1628187652
30,Ajdabiya,30.7554,20.2263,86.97,52,0,18.37,LY,1628187653
31,Port Elizabeth,-33.918,25.5701,61.09,82,0,14.97,ZA,1628187653
32,Hong Kong,22.2855,114.1577,83.32,94,100,5.01,HK,1628187654
33,Saskylakh,71.9167,114.0833,48.78,72,19,7.07,RU,1628187654
34,Baracoa,20.3467,-74.4958,87.24,64,57,7.29,CU,1628187654
35,Tilichiki,60.4667,166.1,45.64,94,100,12.35,RU,1628187655
36,Northam,51.0333,-4.2167,64.2,93,41,17.05,GB,1628187655
37,Dikson,73.5069,80.5464,53.06,84,1,2.86,RU,1628187656
38,Denpasar,-8.65,115.2167,80.26,89,40,12.66,ID,1628187433
39,Cape Town,-33.9258,18.4232,59.11,85,0,1.99,ZA,1628187656
40,Boyuibe,-20.4167,-63.2833,80.51,23,40,8.5,BO,1628187657
41,Butaritari,3.0707,172.7902,83.07,65,17,11.88,KI,1628187657
42,Portoferraio,42.8115,10.3146,81.09,50,0,5.75,IT,1628187658
43,São Filipe,14.8961,-24.4956,78.84,90,85,6.4,CV,1628187658
44,Aljezur,37.3191,-8.8033,71.91,77,4,15.61,PT,1628187658
45,Price,39.5994,-110.8107,89.73,21,1,5.75,US,1628187659
46,Nador,35.174,-2.9287,89.67,61,0,6.91,MA,1628187659
47,Shambu,9.5667,37.1,52.12,92,100,1.07,ET,1628187660
48,Antalaha,-14.9003,50.2788,69.37,83,86,10.54,MG,1628187660
49,Haines Junction,60.7522,-137.5108,60.75,77,82,2.3,CA,1628187661
50,Pevek,69.7008,170.3133,36.9,98,69,6.06,RU,1628187661
51,Saint Paul Harbor,57.79,-152.4072,56.71,82,90,0.0,US,1628187662
52,Qaanaaq,77.484,-69.3632,46.8,59,32,2.37,GL,1628187662
53,Liusha,27.2098,108.59,71.47,90,21,2.08,CN,1628187663
54,Fomboni,-12.28,43.7425,77.14,65,49,12.84,KM,1628187663
55,Saint George,37.1041,-113.5841,106.27,14,1,1.99,US,1628187661
56,Geraldton,-28.7667,114.6,46.81,81,0,16.11,AU,1628187664
57,Tasiilaq,65.6145,-37.6368,53.76,74,27,2.21,GL,1628187664
58,Esim,4.8699,-2.2405,77.79,79,76,9.91,GH,1628187377
59,Hambantota,6.1241,81.1185,79.38,82,79,18.48,LK,1628187665
60,Castro,-24.7911,-50.0119,62.65,61,100,8.7,BR,1628187666
61,Hermanus,-34.4187,19.2345,57.9,86,36,11.43,ZA,1628187666
62,George Town,5.4112,100.3354,82.89,86,20,2.3,MY,1628187666
63,Dapaong,10.8639,0.205,76.08,85,98,9.8,TG,1628187667
64,Denizli Province,37.8402,29.0698,94.05,18,0,5.03,TR,1628187667
65,Bethel,41.3712,-73.414,78.94,71,40,6.91,US,1628187668
66,Gemona,46.2794,13.1431,71.73,88,88,1.5,IT,1628187668
67,Faya,18.3851,42.4509,64.51,69,83,3.6,SA,1628187669
68,Palana,59.1167,159.9667,43.97,96,100,16.37,RU,1628187669
69,Jamestown,42.097,-79.2353,79.09,60,90,3.44,US,1628187670
70,Catherinas Lust,6.4,-57.6,84.97,65,40,7.47,GY,1628187670
71,Namatanai,-3.6667,152.4333,78.71,85,79,6.55,PG,1628187671
72,Kaffrine,14.1059,-15.5508,91.29,53,86,4.85,SN,1628187671
73,Kahului,20.8947,-156.47,79.86,76,20,12.66,US,1628187672
74,Nikolskoye,59.7035,30.7861,64.29,81,100,2.77,RU,1628187672
75,Barrow,71.2906,-156.7887,42.82,93,90,18.41,US,1628187672
76,Bredasdorp,-34.5322,20.0403,54.28,94,80,4.61,ZA,1628187673
77,Bay Roberts,47.5999,-53.2648,77.65,49,55,4.0,CA,1628187673
78,Sal Rei,16.1833,-22.9167,79.36,89,75,13.8,CV,1628187674
79,Lamu,-2.2717,40.902,77.22,83,50,14.94,KE,1628187674
80,Longido,-2.7333,36.6833,66.33,60,58,7.11,TZ,1628187674
81,Sika,13.3546,-16.345,86.14,62,83,3.51,GM,1628187675
82,Merauke,-8.4667,140.3333,73.9,87,57,11.18,ID,1628187676
83,Stromness,58.965,-3.296,61.05,87,69,27.11,GB,1628187676
84,Tulsīpur,28.131,82.2973,75.56,87,66,3.49,NP,1628187677
85,Muisne,0.6,-80.0333,84.31,79,96,11.59,EC,1628187677
86,Hilo,19.7297,-155.09,76.12,76,90,3.44,US,1628187678
87,Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.59,87,0,8.95,RU,1628187678
88,Ormara,25.2088,64.6357,80.85,86,43,10.96,PK,1628187679
89,Chaupāl,30.95,77.5833,58.42,94,44,2.42,IN,1628187679
90,Nome,64.5011,-165.4064,58.15,82,75,18.41,US,1628187679
91,Kokstad,-30.5472,29.4241,52.79,68,26,3.94,ZA,1628187680
92,East London,-33.0153,27.9116,65.34,77,0,17.27,ZA,1628187680
93,Sambava,-14.2667,50.1667,70.11,86,93,15.77,MG,1628187680
94,Puerto Ayora,-0.7393,-90.3518,80.56,85,74,8.01,EC,1628187681
95,Kapaa,22.0752,-159.319,80.92,75,20,5.01,US,1628187605
96,Sinnamary,5.3833,-52.95,84.33,67,84,4.7,GF,1628187682
97,Praia da Vitória,38.7333,-27.0667,84.45,70,40,13.38,PT,1628187682
98,Krasnosel'kup,65.7,82.4667,65.75,65,47,9.8,RU,1628187682
99,Ferrol,43.4832,-8.2369,69.35,77,63,12.19,ES,1628187683
100,Khatanga,71.9667,102.5,57.99,43,68,9.57,RU,1628187683
101,Batagay-Alyta,67.8006,130.4114,42.24,84,71,16.62,RU,1628187684
102,Chokurdakh,70.6333,147.9167,36.09,87,100,9.82,RU,1628187684
103,Sitka,57.0531,-135.33,64.29,72,40,4.61,US,1628187685
104,Vaini,-21.2,-175.2,62.76,94,75,2.3,TO,1628187685
